sym,sessions,zone_tol_atr,sl_buf_atr,tp_mode,min_rr,body_filter,full_n,full_wr,full_pf,full_net_pips,full_max_dd_pips,full_avg_rr,full_sharpe,full_n_tp,full_n_sl,full_n_to,IS_n,IS_wr,IS_pf,IS_net_pips,IS_max_dd_pips,IS_avg_rr,IS_sharpe,IS_n_tp,IS_n_sl,IS_n_to,OOS_n,OOS_wr,OOS_pf,OOS_net_pips,OOS_max_dd_pips,OOS_avg_rr,OOS_sharpe,OOS_n_tp,OOS_n_sl,OOS_n_to
USDJPY,[8],0.0,0.05,rh_rl,0.8,True,263,0.3042,0.6223,-1231.7739,1283.8739,4.112,-2.8122,28,163,72,149,0.3221,0.5944,-576.0013,628.1013,3.9883,-3.3964,21,86,42,114,0.2807,0.6439,-655.7726,642.2061,4.2736,-2.646,7,77,30
USDJPY,[8],0.0,0.05,rh_rl,0.8,False,295,0.3153,0.6508,-1248.0336,1270.9748,4.1261,-2.5357,37,180,78,168,0.3393,0.6084,-606.8355,649.4064,3.916,-3.224,26,94,48,127,0.2835,0.6832,-641.1981,627.6316,4.4039,-2.2981,11,86,30
USDJPY,[8],0.0,0.05,rh_rl,1.2,True,242,0.3058,0.662,-992.9412,1045.0412,4.3818,-2.4299,22,149,71,138,0.3188,0.6126,-509.2838,588.0461,4.226,-3.1883,17,80,41,104,0.2885,0.702,-483.6573,526.3964,4.5886,-2.1037,5,69,30
USDJPY,[8],0.0,0.05,rh_rl,1.2,False,268,0.306,0.6748,-1053.0051,1075.9463,4.4409,-2.3089,26,165,77,153,0.3268,0.6157,-550.6223,631.4465,4.2026,-3.1397,19,87,47,115,0.2783,0.7218,-502.3828,500.5325,4.7579,-1.948,7,78,30
USDJPY,[8],0.0,0.05,rh_rl,1.5,True,222,0.3018,0.7049,-786.547,838.647,4.6558,-2.0532,17,138,67,128,0.2969,0.5863,-522.6537,608.5484,4.4522,-3.4598,12,76,40,94,0.3085,0.8118,-263.8933,316.7192,4.933,-1.2347,5,62,27
USDJPY,[8],0.0,0.05,rh_rl,1.5,False,246,0.3008,0.7136,-846.3317,883.7514,4.7186,-1.9756,20,153,73,141,0.305,0.5888,-563.7128,662.2487,4.4477,-3.413,13,82,46,105,0.2952,0.8216,-282.6189,350.4352,5.0824,-1.1699,7,71,27
USDJPY,[8],0.0,0.05,mid,0.8,True,194,0.3711,0.6472,-776.4107,838.7652,2.315,-2.8931,45,112,37,111,0.3784,0.6139,-384.5649,469.2195,2.2046,-3.329,27,60,24,83,0.3614,0.6747,-391.8457,378.2792,2.4626,-2.7044,18,52,13
USDJPY,[8],0.0,0.05,mid,0.8,False,215,0.3674,0.6405,-874.1085,888.6996,2.3446,-2.9667,50,124,41,122,0.3852,0.6222,-407.2702,458.3614,2.1984,-3.2354,30,64,28,93,0.3441,0.6551,-466.8383,453.2718,2.5363,-2.9168,20,60,13
USDJPY,[8],0.0,0.05,mid,1.2,True,158,0.3291,0.6198,-726.85,789.2045,2.6148,-3.2181,28,98,32,87,0.3218,0.5676,-378.9628,452.8173,2.5389,-3.9216,16,52,19,71,0.338,0.664,-347.8872,334.3207,2.7079,-2.7979,12,46,13
USDJPY,[8],0.0,0.05,mid,1.2,False,176,0.3182,0.5951,-867.6478,882.239,2.6426,-3.4921,30,110,36,96,0.3229,0.5563,-425.268,451.3592,2.5238,-4.0474,17,56,23,80,0.3125,0.6265,-442.3798,428.8133,2.7853,-3.2078,13,54,13
USDJPY,[8],0.0,0.05,mid,1.5,True,129,0.3101,0.5863,-648.6777,714.1345,2.9032,-3.5506,17,81,31,71,0.2958,0.5098,-346.5764,409.6327,2.8092,-4.6488,9,43,19,58,0.3276,0.6492,-302.1013,300.0797,3.0183,-2.9347,8,38,12
USDJPY,[8],0.0,0.05,mid,1.5,False,147,0.3061,0.5854,-742.4755,753.3349,2.9005,-3.5638,20,93,34,79,0.3038,0.5075,-384.3817,392.8406,2.7772,-4.6662,10,47,22,68,0.3088,0.6455,-358.0939,356.0722,3.0437,-2.9857,10,46,12
USDJPY,[8],0.0,0.05,half,0.8,True,285,0.3228,0.7084,-1031.7147,1139.5666,2.0,-2.1723,58,175,52,158,0.3228,0.6232,-570.5375,681.0099,2.0,-3.2346,32,92,34,127,0.3228,0.7722,-461.1772,510.0647,2.0,-1.6738,26,83,18
USDJPY,[8],0.0,0.05,half,0.8,False,315,0.3302,0.7097,-1112.5289,1165.7834,2.0,-2.1741,66,191,58,177,0.339,0.653,-569.9248,654.3711,2.0,-2.9077,37,100,40,138,0.3188,0.7522,-542.6041,579.4753,2.0,-1.8593,29,91,18
USDJPY,[8],0.0,0.05,half,1.2,True,285,0.3228,0.7084,-1031.7147,1139.5666,2.0,-2.1723,58,175,52,158,0.3228,0.6232,-570.5375,681.0099,2.0,-3.2346,32,92,34,127,0.3228,0.7722,-461.1772,510.0647,2.0,-1.6738,26,83,18
USDJPY,[8],0.0,0.05,half,1.2,False,315,0.3302,0.7097,-1112.5289,1165.7834,2.0,-2.1741,66,191,58,177,0.339,0.653,-569.9248,654.3711,2.0,-2.9077,37,100,40,138,0.3188,0.7522,-542.6041,579.4753,2.0,-1.8593,29,91,18
USDJPY,[8],0.0,0.05,half,1.5,True,285,0.3228,0.7084,-1031.7147,1139.5666,2.0,-2.1723,58,175,52,158,0.3228,0.6232,-570.5375,681.0099,2.0,-3.2346,32,92,34,127,0.3228,0.7722,-461.1772,510.0647,2.0,-1.6738,26,83,18
USDJPY,[8],0.0,0.05,half,1.5,False,315,0.3302,0.7097,-1112.5289,1165.7834,2.0,-2.1741,66,191,58,177,0.339,0.653,-569.9248,654.3711,2.0,-2.9077,37,100,40,138,0.3188,0.7522,-542.6041,579.4753,2.0,-1.8593,29,91,18
USDJPY,[8],0.0,0.1,rh_rl,0.8,True,254,0.3386,0.6689,-1141.9105,1194.0105,3.279,-2.4048,30,135,89,145,0.3448,0.602,-614.9342,667.0342,3.1743,-3.3203,21,74,50,109,0.3303,0.7232,-526.9763,530.0315,3.4183,-1.9719,9,61,39
USDJPY,[8],0.0,0.1,rh_rl,0.8,False,283,0.3569,0.7341,-994.6242,1011.4066,3.2986,-1.8485,37,147,99,161,0.3727,0.6907,-506.8628,546.1519,3.1549,-2.3633,24,78,59,122,0.3361,0.768,-487.7614,471.4284,3.4883,-1.6218,13,69,40
USDJPY,[8],0.0,0.1,rh_rl,1.2,True,220,0.3318,0.7129,-860.9841,913.0841,3.6334,-2.011,19,119,82,126,0.3175,0.5759,-601.4085,670.698,3.5058,-3.5964,12,67,47,94,0.3511,0.8358,-259.5755,332.0643,3.8045,-1.0797,7,52,35
USDJPY,[8],0.0,0.1,rh_rl,1.2,False,244,0.3484,0.7764,-729.7477,746.5301,3.67,-1.5057,23,129,92,139,0.3525,0.6792,-476.0871,551.8589,3.5007,-2.4571,14,69,56,105,0.3429,0.8575,-253.6607,376.2962,3.8942,-0.9377,9,60,36
USDJPY,[8],0.0,0.1,rh_rl,1.5,True,200,0.33,0.7139,-793.012,845.112,3.8619,-1.9897,13,110,77,113,0.3186,0.5741,-547.2958,599.3958,3.7486,-3.6286,9,61,43,87,0.3448,0.8347,-245.7162,332.0643,4.009,-1.0784,4,49,34
USDJPY,[8],0.0,0.1,rh_rl,1.5,False,221,0.3439,0.7884,-635.1024,651.8848,3.9104,-1.4089,17,119,85,124,0.3468,0.6822,-429.3744,474.5462,3.7546,-2.4432,11,63,50,97,0.3402,0.8754,-205.728,376.2962,4.1097,-0.8041,6,56,35
USDJPY,[8],0.0,0.1,mid,0.8,True,179,0.3966,0.6597,-787.3347,833.5438,1.8821,-2.7791,42,93,44,101,0.4059,0.6278,-392.7299,461.239,1.814,-3.185,25,50,26,78,0.3846,0.6865,-394.6048,378.2717,1.9703,-2.5776,17,43,18
USDJPY,[8],0.0,0.1,mid,0.8,False,198,0.399,0.6633,-859.0963,877.1506,1.9029,-2.7497,47,102,49,111,0.4324,0.7018,-328.7063,369.0607,1.8095,-2.4072,29,51,31,87,0.3563,0.6339,-530.3899,514.0569,2.022,-3.15,18,51,18
USDJPY,[8],0.0,0.1,mid,1.2,True,129,0.3566,0.6132,-684.3326,735.3789,2.2338,-3.25,21,71,37,71,0.3521,0.5697,-341.5951,385.3688,2.1673,-3.8646,12,38,21,58,0.3621,0.6486,-342.7376,333.677,2.3152,-2.9266,9,33,16
USDJPY,[8],0.0,0.1,mid,1.2,False,148,0.3649,0.6378,-726.9942,749.8029,2.2177,-3.0016,26,80,42,80,0.3875,0.6588,-286.9715,302.5904,2.1321,-2.8426,15,39,26,68,0.3382,0.6226,-440.0227,430.8794,2.3184,-3.2436,11,41,16
USDJPY,[8],0.0,0.1,mid,1.5,True,105,0.3905,0.7012,-423.4474,541.1834,2.4365,-2.3355,17,56,32,57,0.3684,0.6252,-236.7598,298.0336,2.3685,-3.1936,9,31,17,48,0.4167,0.7623,-186.6876,226.8168,2.5173,-1.8169,8,25,15
USDJPY,[8],0.0,0.1,mid,1.5,False,117,0.3846,0.6855,-503.5484,541.8174,2.4515,-2.4978,19,63,35,62,0.3871,0.6729,-219.3362,260.2275,2.3631,-2.6772,10,32,20,55,0.3818,0.6947,-284.2122,295.8792,2.5511,-2.4636,9,31,15
USDJPY,[8],0.0,0.1,half,0.8,True,285,0.3368,0.6736,-1307.3281,1367.0049,2.0,-2.4804,45,153,87,158,0.3418,0.6367,-612.5846,672.2615,2.0,-2.9984,25,81,52,127,0.3307,0.7005,-694.7434,756.3236,2.0,-2.3076,20,72,35
USDJPY,[8],0.0,0.1,half,0.8,False,315,0.3524,0.7034,-1279.2262,1322.2782,2.0,-2.2196,53,166,96,177,0.3729,0.7068,-527.0851,582.4186,2.0,-2.2966,30,86,61,138,0.3261,0.701,-752.1411,815.5602,2.0,-2.3244,23,80,35
USDJPY,[8],0.0,0.1,half,1.2,True,285,0.3368,0.6736,-1307.3281,1367.0049,2.0,-2.4804,45,153,87,158,0.3418,0.6367,-612.5846,672.2615,2.0,-2.9984,25,81,52,127,0.3307,0.7005,-694.7434,756.3236,2.0,-2.3076,20,72,35
USDJPY,[8],0.0,0.1,half,1.2,False,315,0.3524,0.7034,-1279.2262,1322.2782,2.0,-2.2196,53,166,96,177,0.3729,0.7068,-527.0851,582.4186,2.0,-2.2966,30,86,61,138,0.3261,0.701,-752.1411,815.5602,2.0,-2.3244,23,80,35
USDJPY,[8],0.0,0.1,half,1.5,True,285,0.3368,0.6736,-1307.3281,1367.0049,2.0,-2.4804,45,153,87,158,0.3418,0.6367,-612.5846,672.2615,2.0,-2.9984,25,81,52,127,0.3307,0.7005,-694.7434,756.3236,2.0,-2.3076,20,72,35
USDJPY,[8],0.0,0.1,half,1.5,False,315,0.3524,0.7034,-1279.2262,1322.2782,2.0,-2.2196,53,166,96,177,0.3729,0.7068,-527.0851,582.4186,2.0,-2.2966,30,86,61,138,0.3261,0.701,-752.1411,815.5602,2.0,-2.3244,23,80,35
USDJPY,[8],0.0,0.15,rh_rl,0.8,True,238,0.3824,0.71,-1004.0155,1056.1155,2.8242,-2.0796,28,110,100,135,0.3704,0.6035,-624.347,721.6068,2.7545,-3.3084,19,61,55,103,0.3981,0.7988,-379.6685,403.5129,2.9155,-1.394,9,49,45
USDJPY,[8],0.0,0.15,rh_rl,0.8,False,263,0.3916,0.7521,-941.7617,952.3852,2.854,-1.7347,32,121,110,149,0.396,0.686,-522.6527,604.6981,2.7491,-2.415,21,64,64,114,0.386,0.8036,-419.109,443.6314,2.9911,-1.3782,11,57,46
USDJPY,[8],0.0,0.15,rh_rl,1.2,True,203,0.3744,0.7611,-702.5162,762.9691,3.1412,-1.6423,16,96,91,116,0.3534,0.6071,-543.1602,620.3602,3.0397,-3.2746,11,54,51,87,0.4023,0.8977,-159.356,291.9676,3.2765,-0.6611,5,42,40
USDJPY,[8],0.0,0.15,rh_rl,1.2,False,225,0.3867,0.8167,-590.4646,601.0882,3.1688,-1.2235,20,105,100,128,0.3828,0.7036,-431.728,509.2515,3.0345,-2.2533,13,56,59,97,0.3918,0.91,-158.7366,346.7155,3.346,-0.5873,7,49,41
USDJPY,[8],0.0,0.15,rh_rl,1.5,True,187,0.385,0.7875,-580.0943,695.5202,3.2945,-1.4325,13,88,86,106,0.3679,0.6237,-475.7114,552.9114,3.2019,-3.0869,9,49,48,81,0.4074,0.9288,-104.3829,257.817,3.4156,-0.4526,4,39,38
USDJPY,[8],0.0,0.15,rh_rl,1.5,False,207,0.3913,0.8306,-510.1427,563.256,3.3268,-1.1197,17,97,93,117,0.3932,0.7266,-365.8792,456.4042,3.1963,-2.0462,11,51,55,90,0.3889,0.9137,-144.2635,312.5648,3.4964,-0.561,6,46,38
USDJPY,[8],0.0,0.15,mid,0.8,True,155,0.4258,0.6555,-785.3695,831.9542,1.6673,-2.8467,34,74,47,86,0.4186,0.5894,-428.9254,484.1754,1.6234,-3.6279,18,40,28,69,0.4348,0.7114,-356.4441,340.1792,1.722,-2.3548,16,34,19
USDJPY,[8],0.0,0.15,mid,0.8,False,173,0.4277,0.6452,-900.5648,905.6729,1.6746,-2.9492,38,82,53,96,0.4479,0.6631,-369.34,383.1136,1.6053,-2.7925,22,41,33,77,0.4026,0.6316,-531.2247,514.9598,1.7609,-3.1969,16,41,20
USDJPY,[8],0.0,0.15,mid,1.2,True,107,0.4112,0.6452,-584.3119,680.8476,1.9723,-2.9331,18,53,36,58,0.3966,0.594,-291.1857,359.7214,1.9249,-3.5885,9,29,20,49,0.4286,0.6847,-293.1262,345.7266,2.0285,-2.5916,9,24,16
USDJPY,[8],0.0,0.15,mid,1.2,False,119,0.4118,0.6377,-668.3913,702.1198,1.9801,-3.0151,20,59,40,63,0.4127,0.6341,-278.2004,283.9288,1.9207,-3.1095,10,30,23,56,0.4107,0.6403,-390.191,453.0914,2.0469,-3.068,10,29,17
USDJPY,[8],0.0,0.15,mid,1.5,True,85,0.4353,0.6977,-385.3539,453.8896,2.1346,-2.3799,14,38,33,47,0.4468,0.7221,-152.2901,238.6983,2.0633,-2.2031,8,20,19,38,0.4211,0.6793,-233.0638,256.1643,2.2228,-2.608,6,18,14
USDJPY,[8],0.0,0.15,mid,1.5,False,94,0.4362,0.7088,-410.7129,437.7721,2.1501,-2.2744,16,42,36,50,0.46,0.7888,-117.974,227.6621,2.0734,-1.5883,9,20,21,44,0.4091,0.6563,-292.7389,326.1394,2.2373,-2.8558,7,22,15
USDJPY,[8],0.0,0.15,half,0.8,True,285,0.3684,0.6682,-1416.3636,1468.4636,2.0,-2.5289,34,132,119,158,0.3671,0.643,-638.3528,707.4196,2.0,-2.8979,20,70,68,127,0.3701,0.6864,-778.0108,825.3974,2.0,-2.4459,14,62,51
USDJPY,[8],0.0,0.15,half,0.8,False,315,0.381,0.7026,-1379.9611,1390.5847,2.0,-2.2247,41,144,130,177,0.3955,0.7229,-530.7462,605.4267,2.0,-2.1186,25,74,78,138,0.3623,0.6883,-849.215,915.3572,2.0,-2.4534,16,70,52
