date_jst,pair,broker,magic,mode,ci,ci_threshold,ci_gap,close,sma,atr,mom24,mom120,allow_long,allow_short,n_long,n_short,entries_prev_day,entered_prev_day
2026-06-29,AUDCAD,axiory,20260034,demo,53.58,65.0,-11.42,0.97949,0.984532,0.000816,1.091,,1,1,0,0,0,0
2026-06-29,AUDCAD,exness,20260034,demo,45.16,65.0,-19.84,0.9795,0.984522,0.000797,1.167,,1,1,0,0,0,0
2026-06-29,NZDJPY,axiory,20260033,demo,47.28,61.8,-14.52,91.474,,0.097357,1.233,,1,0,0,0,0,0
2026-06-29,NZDJPY,exness,20260033,demo,37.33,61.8,-24.47,91.469,,0.095714,1.264,,1,0,3,0,0,0
2026-06-29,EURGBP,axiory,20260035,demo,58.98,65.0,-6.02,0.86164,,0.000439,-7.661,-4.857,1,1,0,0,0,0
2026-06-29,EURGBP,exness,20260035,demo,52.28,65.0,-12.72,0.86159,,0.000424,-7.933,-5.029,1,1,1,0,0,0
2026-06-29,AUDNZD,axiory,20260036,demo,59.74,65.0,-5.26,1.22053,1.21618,0.000747,-1.338,,1,0,0,0,0,0
2026-06-29,AUDNZD,exness,20260036,demo,45.3,65.0,-19.7,1.22049,1.216127,0.000724,-1.312,,1,0,0,0,0,0
2026-06-29,USDJPY,axiory,20260037,demo,47.01,65.0,-17.99,161.892,,0.053643,4.325,,1,0,0,0,0,0
2026-06-29,USDJPY,exness,20260037,demo,44.01,65.0,-20.99,161.889,,0.050929,4.614,,1,0,0,0,0,0
2026-06-29,CADCHF,axiory,20260038,demo,52.42,65.0,-12.58,0.56933,0.570947,0.000397,,,1,1,0,0,0,0
2026-06-29,CADCHF,exness,20260038,demo,54.45,65.0,-10.55,0.56933,0.570977,0.000387,,,1,1,0,0,0,0
2026-06-29,AUDCAD,oanda_live,20260034,live,53.06,65.0,-11.94,0.97952,0.984523,0.000818,1.1,,1,1,0,0,0,0
2026-06-29,CADCHF,oanda_live,20260038,live,55.54,65.0,-9.46,0.56924,0.570869,0.000406,,,1,1,0,0,0,0
2026-06-29,EURGBP,oanda_live,20260035,live,61.27,65.0,-3.73,0.86161,,0.000446,-7.504,-4.771,1,1,0,1,0,0
