ticket,open_time,close_time,type,lots,symbol,open_price,sl,tp,close_price,profit,magic,comment
28716749,2026.04.24 18:52:07,2026.04.24 19:21:54,sell,0.2,AUDJPY,113.958,114.064,113.8,113.948,200.0,20250001,[sl 113.948]
28729503,2026.04.24 21:42:07,2026.04.24 22:02:51,sell,0.2,EURJPY,186.791,186.845,186.71,186.845,-1080.0,20250001,[sl 186.845]
28738516,2026.04.27 00:07:07,2026.04.27 01:03:21,buy,0.2,EURUSD,1.17055,1.169,1.17288,1.17057,64.0,20250001,[sl 1.17062]
28739893,2026.04.27 01:07:08,2026.04.27 02:24:54,sell,0.2,USDCAD,1.36781,1.36872,1.3664399999999999,1.36779,47.0,20250001,[sl 1.36779]
28741971,2026.04.27 03:42:07,2026.04.27 03:45:05,buy,0.2,USDCAD,1.36733,1.36703,1.36778,1.3670200000000001,-723.0,20250001,[sl 1.36703]
28738515,2026.04.27 00:07:07,2026.04.27 03:49:38,sell,0.2,USDJPY,159.486,160.198,158.419,159.481,100.0,20250001,[sl 159.480]
28742355,2026.04.27 03:47:07,2026.04.27 03:54:23,buy,0.2,USDCAD,1.3670499999999999,1.36672,1.36755,1.36708,70.0,20250001,[sl 1.36709]
28743028,2026.04.27 03:52:07,2026.04.27 03:58:26,sell,0.2,AUDJPY,114.081,114.139,113.994,114.141,-1200.0,20250001,[sl 114.139]
28743089,2026.04.27 03:57:07,2026.04.27 04:00:28,buy,0.2,USDCAD,1.3671,1.36674,1.36764,1.36673,-863.0,20250001,[sl 1.36674]
28743333,2026.04.27 04:02:09,2026.04.27 04:18:12,buy,0.2,USDCAD,1.36636,1.36582,1.36716,1.36647,257.0,20250001,[sl 1.36647]
28744299,2026.04.27 04:22:08,2026.04.27 05:01:17,buy,0.2,USDCAD,1.36661,1.36606,1.36743,1.36606,-1283.0,20250001,[sl 1.36606]
28746174,2026.04.27 05:42:07,2026.04.27 06:43:22,sell,0.2,EURUSD,1.17264,1.17319,1.17182,1.17319,-1751.0,20250001,[sl 1.17319]
28747857,2026.04.27 06:52:07,2026.04.27 06:59:26,buy,0.2,EURJPY,186.765,186.702,186.859,186.77,100.0,20250001,[sl 186.771]
28747921,2026.04.27 07:02:07,2026.04.27 07:14:29,buy,0.2,EURJPY,186.747,186.687,186.837,186.749,40.0,20250001,[sl 186.753]
28747719,2026.04.27 06:47:07,2026.04.27 07:15:19,sell,0.2,EURUSD,1.17301,1.17338,1.17245,1.17298,96.0,20250001,[sl 1.17298]
28749176,2026.04.27 07:42:07,2026.04.27 07:50:28,sell,0.2,EURUSD,1.17307,1.17334,1.17266,1.17265,1337.0,20250001,[tp 1.17266]
28748075,2026.04.27 07:17:08,2026.04.27 08:14:05,buy,0.2,EURJPY,186.741,186.682,186.83,186.745,80.0,20250001,[sl 186.746]
28749711,2026.04.27 08:37:07,2026.04.27 08:58:05,sell,0.2,EURJPY,186.819,186.885,186.717,186.885,-1320.0,20250001,[sl 186.885]
28749974,2026.04.27 09:02:09,2026.04.27 09:07:13,buy,0.2,EURUSD,1.1722299999999999,1.1718600000000001,1.17279,1.1718600000000001,-1180.0,20250001,[sl 1.17186]
28750116,2026.04.27 09:12:08,2026.04.27 09:22:58,buy,0.2,EURUSD,1.17192,1.17148,1.17258,1.17197,159.0,20250001,[sl 1.17197]
28750280,2026.04.27 09:27:09,2026.04.27 09:45:01,buy,0.2,EURUSD,1.17188,1.17142,1.17257,1.17193,159.0,20250001,[sl 1.17193]
28750737,2026.04.27 09:52:08,2026.04.27 10:00:04,buy,0.2,USDCAD,1.36598,1.3655,1.3667,1.3655,-1120.0,20250001,[sl 1.36550]
28750870,2026.04.27 10:02:08,2026.04.27 10:09:54,sell,0.2,EURUSD,1.17305,1.17361,1.17221,1.17361,-1783.0,20250001,[sl 1.17361]
28750869,2026.04.27 10:02:08,2026.04.27 10:19:48,buy,0.2,GBPJPY,215.583,215.471,215.751,215.633,1000.0,20250001,[sl 215.633]
28751018,2026.04.27 10:12:07,2026.04.27 10:23:19,sell,0.2,EURUSD,1.17328,1.17392,1.17232,1.17322,191.0,20250001,[sl 1.17322]
28751665,2026.04.27 10:32:07,2026.04.27 10:56:22,buy,0.2,GBPJPY,215.55,215.428,215.733,215.639,1780.0,20250001,[sl 215.640]
28751980,2026.04.27 10:57:07,2026.04.27 11:09:06,sell,0.2,EURUSD,1.1740599999999999,1.17473,1.17306,1.17473,-2133.0,20250001,[sl 1.17473]
28751979,2026.04.27 10:57:07,2026.04.27 11:21:40,sell,0.2,EURJPY,186.948,187.048,186.797,186.938,200.0,20250001,[sl 186.938]
28753985,2026.04.27 13:17:07,2026.04.27 13:41:10,sell,0.2,USDJPY,159.266,159.331,159.168,159.168,1960.0,20250001,[tp 159.168]
28754340,2026.04.27 13:57:07,2026.04.27 14:16:49,sell,0.2,EURUSD,1.17466,1.17509,1.17402,1.174,2101.0,20250001,[tp 1.17402]
28755339,2026.04.27 15:12:07,2026.04.27 15:29:58,sell,0.2,EURUSD,1.17503,1.17564,1.17412,1.17496,223.0,20250001,[sl 1.17496]
28756436,2026.04.27 16:02:07,2026.04.27 16:06:45,buy,0.2,GBPJPY,215.711,215.533,215.979,215.729,360.0,20250001,[sl 215.730]
28756439,2026.04.27 16:02:10,2026.04.27 16:37:57,buy,0.2,GBPUSD,1.3547,1.35336,1.35671,1.35516,1465.0,20250001,[sl 1.35516]
28757222,2026.04.27 16:47:07,2026.04.27 17:07:04,buy,0.2,GBPUSD,1.35469,1.35358,1.35636,1.35479,319.0,20250001,[sl 1.35480]
28757299,2026.04.27 16:52:07,2026.04.27 17:50:41,buy,0.2,EURUSD,1.17402,1.17326,1.17515,1.17441,1241.0,20250001,[sl 1.17441]
28758425,2026.04.27 18:07:08,2026.04.27 19:54:05,buy,0.2,EURUSD,1.17352,1.17267,1.1748,1.17267,-2710.0,20250001,[sl 1.17267]
28759418,2026.04.27 19:52:07,2026.04.27 20:02:17,buy,0.2,GBPUSD,1.3546,1.35391,1.35564,1.35391,-2200.0,20250001,[sl 1.35391]
28759356,2026.04.27 19:42:07,2026.04.27 20:03:52,sell,0.2,USDJPY,159.362,159.426,159.266,159.426,-1280.0,20250001,[sl 159.426]
28759434,2026.04.27 19:57:07,2026.04.27 20:04:28,buy,0.2,EURUSD,1.17283,1.17219,1.17378,1.17219,-2041.0,20250001,[sl 1.17219]
